l,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l
3022.8,3337.2,3521.9,3712,3823.7,4010.9,4113.3,4253.5,4444.2,4620,4741.3,4853.9,4929,5046.9,5334.6,5494.4,5598,5744,5940.1,6124.1,6244.6,6357.2,6457.6,6543.5,6652.2,6727.8,6845.1,6996.5,7125,7235.5,7341.8,7427.9,7536.5,7612.7,7736.7,8032.6,8167.1,8272.4,8415.8,8616.1,9472.4,9592.4,9755.6,9861,10130,10236,10385,10580,10745,10865,10974,11052,11169,11465,11597,11700,11858,11967,12123,12226,12302,12419,12564,12688,12800,12902,12989,13095,13172,13292,13577,13720,13825,13981,14168,14345,14464,14574,14651,14770,14917,15047,15160,15264,15351,15457,15536,15658,16380
3064.1,3379.8,3572.2,3755.7,3889.7,4056.6,4184.7,4388.7,4518.8,4691.8,4814.7,4917.3,4985,5127.8,5389.5,5540.5,5666.2,5886.7,6017.1,6198.2,6321,6424.3,6517.6,6606.4,6718.9,6789.6,6930.3,7073.3,7198.3,7303.1,7399.2,7490.2,7607.9,7671.5,7817.8,8096.5,8220.1,8347.2,8558.2,8695.2,9519.5,9659.4,9806.3,9939.4,10182,10314,10529,10663,10820,10938,11044,11114,11251,11531,11650,11779,11912,12040,12183,12293,12365,12502,12642,12766,12868,12962,13048,13165,13234,13375,13637,13769,13888,14115,14248,14421,14538,14639,14709,14852,14996,15121,15227,15322,15406,15524,15593,15738,16410
