l,l,l,l,i,l,l,i,l,i,l,i,l,i,l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,l,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r
1775.5,1994.6,2136.7,2379.2,2593.7,2820.6,2952.7,3263.4,3442.2,3625.3,3824.2,3951.2,4280.7,4417.1,4639.3,4856.2,5071.6,5336.1,5460.7,5626,5728,5802.9,5919.7,6095.8,6213.6,6325.5,6425.5,6511.6,6618.5,6691,6872.2,7022.2,7153.4,7322,7436.7,7581.8,7777.9,7957.6,8078.1,8190.5,8269.8,8385,8629.1,8747.5,8856.3,8959.5,9045,9162.1,9230.8,9347.9,9861,9969.8,10146,10249,10329,10443,10640,10762,10877,10978,11065,11183,11253,11368,11692,11874,11998,12329,12443,12588,12776,12974,13097,13208,13285,13404
1806.3,2036.5,2180.6,2424.4,2641.8,2860.9,3001.1,3320.8,3488.3,3683.4,3873.3,4020,4329.1,4480.7,4687.7,4913.4,5112.3,5376.6,5528.7,5685.1,5794.6,5863.3,5998.7,6168,6286.1,6390,6483.6,6568.9,6684.2,6756,6916.2,7071.3,7221.2,7372.8,7512,7728,7856.2,8030.1,8151,8249.4,8314.3,8466.4,8700.2,8817.9,8925.2,9016.3,9107.4,9210.1,9276.2,9427,9907.2,10043,10205,10305,10372,10523,10714,10837,10943,11037,11127,11233,11299,11449,11748,11923,12073,12374,12519,12720,12856,13051,13171,13279,13349,13486
