l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,f,f,a,d,f,a,b,r,f,n,a,b,r
1997,2180.3,2640.4,2766.7,2920,3033.9,3299.2,3423.7,3588.7,3700.3,3846.6,4049.8,4236.9,4358.3,4466.3,4543.2,4662.7,4885.8,5016.1,5126.7,5229,5318.6,5426.1,5503.5,5624.8,6107.3,6210.2,6609.5,6722.4,6907.7,7025,7221.3,7331,7514.8,7640,7808.8,7981.8,8151.8,8277.9,8385.8,8463.2,8583.6,8810.6,8970.4,9096,9198.6,9286.6,9397.6,9475.2,9595.9,9798.3,9922.4,10037,10113,10232
2037.2,2222.7,2681.1,2820.7,2965.8,3101.5,3345.3,3495.4,3638.7,3782.5,3996.2,4128.9,4311.1,4430.6,4532.2,4606.8,4741.4,4957.5,5086.3,5191.3,5288.7,5379.3,5491.4,5565.1,5698.5,6157,6249.8,6647.3,6779.1,6944.6,7082.6,7263.2,7402.3,7557.2,7697.1,7924.8,8056.8,8225.8,8347.5,8451.1,8519,8663.3,8886.8,9041.6,9160.6,9254.9,9341.7,9459,9525.2,9674.4,9872.3,9995.7,10099,10168,10309
