l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1592.8,1727.4,1884.2,1991.7,2232.6,2341.3,2545,2646.1,2822.7,3007.1,3160.6,3278.4,3389,3463.3,3580.6,3763.6,3880.6,3992.2,4067.9,4184.3,4621.7,4765.4,4868.5,5103.9,5209.3,5460.4,5567.8,5713.8,5905.1,6071.6,6191.7,6302,6377.7,6493.1,6667.8,6790.8,6903,7004.8,7091.8,7198,7274.4,7394.1
1630.3,1771.2,1923.4,2048.3,2271.1,2398.4,2581.9,2705.4,2956,3081.8,3237.7,3353.6,3451.8,3520.6,3660.5,3836.5,3958,4055.8,4122.4,4261.7,4673.3,4807.2,4932.9,5147.9,5277.7,5500.9,5633.1,5851.2,5981.9,6145.8,6265.7,6365.2,6433.6,6569.4,6743.6,6865.7,6968.7,7061.4,7145,7256.5,7333.2,7471.2
