l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,l
1139,1990.4,2158.8,2331,2440.6,2628.9,2748.4,2973.2,3101.1,3273.8,3376.1,3452,3568.8,3774.8,3895.5,4007.6,4110.6,4202.2,4312.8,4387.9,5982.5
1170.2,2033.8,2210.9,2377.7,2507.1,2671.6,2813.7,3016.6,3168.2,3331.1,3440.1,3508,3648.8,3849.4,3970.7,4072.6,4166.7,4256.9,4376.4,4443.9,6013.2
