l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1792.2,1969.3,2139.6,2264.4,2420.1,2574.4,2746.5,2886.4,3184.2,3356,3466.2,3627.5,3809.7,3954.6,4067.3,4176.2,4252.7,4366.7,4579.9,4702.6,4814.3,4913.5,4998.6,5104.2,5178.2,5299.7,5652.2,5798.3,5933.8,6132.5,6237.8,6397.8,6590.8,6739.2,6860.8,6966.9,7043.3,7158.4,7418.3,7575.2,7678.5,7840.4,7941.7,8017.4,8135,8310.8,8432,8542.6,8643.3,8728.2,8834,8908.4,9026.6
1829.2,2018.9,2176,2303.1,2459.1,2626.3,2780.7,2917.2,3221.8,3394.4,3534.8,3754.8,3880.9,4026.5,4139.2,4234.1,4306.8,4441.1,4651.4,4774.5,4877.3,4970.6,5058.4,5168.1,5235.2,5376,5709.8,5841.5,5976.7,6172.7,6307,6526.4,6666.9,6811.8,6930,7032.4,7100,7238,7473.2,7617.2,7749.1,7898.4,8005.3,8070.8,8211.5,8385.3,8505.5,8607,8699.9,8783.3,8895.5,8966.6,9102.4
