l,i,l,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1982.2,2303.5,2512.3,2635.5,2811.4,3055.8,3186.3,3426.7,3544.5,3787.2,3899.4,4127.2,4251.8,4445.9,4553.1,4713.9,4814.4,4890.2,5008.6,5190.8,5319.6,5430.6,5530.9,5618.7,5726.1,5798.1,5918.6,6133.9,6253.6,6367.2,6469.3,6555.6,6660.6,6734.8,6854.3,7173.6,7347.8,7450,7608.4,7802.8,7972.7,8095.7,8206.6,8285.9,8402.1,8765.1,8932.9,9040.3,9201.4,9306.5,9619.1,9728.8,9874.9,10058,10244,10362,10471,10548,10666,10854,10977,11086,11187,11273,11379,11455,11575,11915,12085,12189,12349,12453,12529,12648,12831,12957,13066,13150,13271,13771,13881,14023,14128,14333,14438,14589,14779,14943,15065,15176,15251,15372,15564,15682,15793,15893,15979,16088,16164,16284,16712,16941,17048,17314,17424,17598,17704,17866,17970,18046,18165,18365,18490,18602,18704,18791,18898,18974,19099
2020.1,2349.3,2555.3,2678.6,2861.9,3097.8,3245.6,3470.6,3607,3827.8,3967.2,4170.2,4314.2,4490.5,4619.6,4769.5,4874,4948.4,5086,5264.6,5392.4,5495.6,5588.3,5670.9,5789.1,5856.3,5996.1,6208.1,6329,6433.3,6525.6,6610,6725.1,6792.4,6930.8,7220.8,7391.6,7516.8,7746.3,7879.1,8048.3,8169.1,8272,8342.9,8477,8812.6,8976.5,9114.2,9246.7,9369.9,9661.2,9796.8,10004,10138,10317,10435,10535,10608,10742,10929,11049,11152,11244,11333,11445,11511,11654,11966,12127,12260,12408,12515,12585,12725,12907,13029,13132,13207,13345,13812,13954,14069,14195,14380,14510,14726,14858,15018,15138,15240,15308,15451,15637,15757,15858,15949,16034,16148,16220,16365,16765,16983,17120,17357,17488,17638,17774,17924,18034,18107,18248,18438,18565,18668,18762,18847,18964,19031,19177
