l,l,i,l,i,l,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i
1629.4,1973,2089.2,2368.7,2532.9,2728.2,3045.3,3169.5,3311.9,3439.8,3578.9,3677.1,3754.4,3868,4137.5,4294.9,4395.8,4558.8,4727.5,4887.1,5005.3,5111.8,5189,5304.5,5580.8,5722.6,5827.5,6007.8,6135.2,6289,6389.4,6465,6584.8,6759.8,6875.7,6980.8,7082.2,7168.6,7272.3,7350.5,7466.8,7707.4,7848,8164.2,8268.4,8423.5,8523.8,8599.7,8714.1,8908.2,9029.3,9136.1,9235.2,9323.9,9427.3,9505.2,9624.9,10591
1661.8,2004.9,2140.6,2401.1,2577,2761,3075.8,3221.3,3349.6,3472.5,3626.6,3730.6,3806.3,3941.7,4181.3,4329.3,4458.6,4669.8,4799.4,4956,5071.9,5168.9,5237.6,5375.2,5625.3,5762.9,5885.8,6044,6174,6337.2,6444.2,6516.8,6659.4,6827.4,6944.2,7045.1,7136.8,7218,7328.4,7403.1,7535.9,7755.9,7885.2,8201.3,8328.7,8471.2,8578.8,8651.3,8789.8,8979.3,9097.9,9200.5,9291.8,9376.5,9485.2,9558.2,9696.9,10637
