i,l,i,l,i,f,a,b,r,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,f,l,i,w,r,n,n,a,d,f,a,b,n,i
1991.8,2147.8,2254.1,2388.5,2498.4,2649.6,2750.2,2826.5,2943.1,3085.7,3201.6,3277.7,3395,4067.7,4208.8,4318.7,4465.3,4656.5,4824.4,4949.7,5059.6,5137.2,5254.8,5593.4,5769.5,5910.2,6038.3,6143.3,6285.4,6472.1,6614.1,6737.5,6846.6,6948.8,7036.4,7144.1,7220.5,7339.3,7655.3
2042.6,2192.2,2322,2434.6,2560,2700,2816.8,2884.1,3025.2,3160.4,3264.6,3339,3474,4126.6,4257.6,4395.2,4605.5,4745.1,4895.9,5022.1,5127.6,5201.3,5335.1,5648.5,5816.8,5942.5,6086,6224.4,6423.2,6550.8,6687.7,6810.5,6914.6,7009.3,7100.1,7212.6,7283.3,7419.5,7716.5
