i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i
1004.8,1240.6,1415,1978.7,2118,2317.5,2456.5,2627.8,2742.6,2925,3030.7,3181.7,3367.5,3541,3656.2,3761.2,3834.5,3947.6,4161.8,4276.7,4381.4,4479.3,4563,4665.1,4739.4,4856.9,5105.7,5232.1,5339.5,5437.4,5522.4,5626.8,5700.4,5819.8,6353.3,6519,6628.9,6798.3,6896.4,6972.4,7088.3,7289.5,7412.6,7520.7,7620.6,7704.7,7809.5,7883.9,8004,8713.6,8853.1
1048.5,1279.1,1471.5,2014.3,2169.4,2353.5,2516,2672.3,2805.7,2966.7,3102.2,3318,3443.2,3612.1,3724.9,3818.3,3890,4022.1,4231.5,4346.2,4446.8,4536.6,4621.6,4726.9,4799.4,4930.5,5178.1,5302.2,5400.4,5494.3,5582.4,5690.8,5758.5,5898,6406.8,6564.4,6693.8,6850.6,6961.3,7028.2,7165.4,7361.7,7482.8,7584.7,7676.9,7764.9,7872.2,7944.9,8083.1,8747.6,8898.4
