l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r
1368.3,1492.8,1694.7,1796.8,1947.1,2134.5,2308.4,2432.5,2544.7,2646,2733.9,2841.2,2916.3,3039.5,3362.2,3532,3641.8,3812.8,3915.9,3991.8,4110.7
1404.7,1549.1,1733.5,1857.6,2077.4,2209.6,2381.9,2506.1,2607.3,2702,2787.9,2902.6,2976.2,3119.8,3412.5,3576,3709.2,3867,3975,4053.1,4189.8
