l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r
1992,2139.8,2306.9,2412.1,2590.3,2695.5,2869.7,3037.9,3227.8,3350.3,3460,3562,3648,3752.2,3828.6,3944.6,4458.8,4612.7,4722.9,4861.1,4968.6,5120.5,5310.3,5497.9,5618.9,5732.1,5807.9,5926.8
2024.9,2191.8,2351,2475.3,2629.9,2762.3,2982.9,3113.9,3305,3424,3522.3,3618.3,3708.5,3814.1,3884,4022.5,4508.9,4658,4797.7,4906.3,5038.1,5253.8,5387,5569.6,5694.7,5795.6,5865.8,6002.9
