l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1994,2143,2308.2,2428.8,2597,2702.7,2851.4,2970.1,3170.5,3277.1,3430.2,3610,3764.4,3881.4,3987.1,4060.1,4175.2,4352.7,4471.6,4580,4677.3,4761.8,4865.7,4940.2,5056.5,5271.4,5403,5509.9,5607.7,5693,5799,5874.7,5990.2
2031,2197.3,2350.9,2486.6,2637.1,2767.2,2892.8,3031.1,3211,3351.7,3555.4,3687.5,3837.5,3951.1,4050.7,4116.4,4252.4,4425.1,4543.8,4643.4,4732.7,4815.9,4927.1,4999.1,5135.6,5342,5473.6,5574.6,5664.6,5748.2,5860.7,5932.7,6063.8
