l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1977.6,2104.9,2293,2419.1,2576.9,2758.9,2931.7,3050.8,3158.8,3232.7,3353,3539.9,3661.8,3770.8,3870.8,3956.8,4059.8,4136.7,4257.9
2013.7,2156.2,2332.9,2486.3,2705.8,2837.2,3003.1,3121.2,3224.6,3289.9,3433.7,3613.7,3736.8,3837.1,3929.1,4018,4121.3,4199.5,4334.3
