l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i
1625.8,1795.4,1985.9,2164.7,2377.2,2519.4,2682.6,2782.4,2857.1,2968.5,3147.2,3263,3370.2,3445.6,3560.3,3874.7,4084.1,4204.6,4350.4,4536.9,4719.7,4840.2,4945.6,5044.6,5128,5231.1,5304.7,5423.8,6218.5,6377.5
1657.7,1843.5,2023.7,2210.6,2414.9,2572.3,2735.9,2839.1,2912.3,3039.8,3216.5,3332.2,3426.9,3494.5,3632.3,3928.5,4122,4275.8,4483.7,4615,4792.8,4911.2,5008.5,5100.2,5187.6,5292.5,5363.1,5498.2,6250.3,6422.6
