i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n
1821.9,1978.9,2109.1,2269.2,2399.5,2559.6,2662.3,2829.1,2946.2,3098.3,3196.4,3270.3,3383.7,3555.5,3673.8,3780.9,3878.9,3963.9,4067.2,4142.9,4257.2,4533.2,4664.1,4767.1,4918,5096.7,5282.2,5397,5504.8,5580.3,5693.8,5881.1,5999.4,6108.4,6207.4,6292.5,6397.3,6473.8,6589.8,6786.7,6908.9,7016,7091.9,7209.5,7488.1,7623.3,7723.8,7878.3,8060.3,8248,8366.6,8481,8580.4,8665,8768.5,8843.9,8961.2,9384,9490.8,9683.1,9787.9,10043,10141,10299,10401,10546,10742,10925,11042,11151,11226,11343,11584,11703,11812,11913,11998,12103,12181,12297,12739,12849,13043,13155,13344,13462,13681,13790,13959,14146,14333,14458,14568,14670,14755,14861,14938,15056,15299
1856.9,2016.6,2159.8,2307.5,2433.9,2596.2,2724.1,2869.8,3001.3,3148.6,3254.7,3326.5,3456.4,3623.9,3744.5,3841.9,3935.1,4019.3,4127.1,4198.8,4331.8,4580.6,4709,4847.9,5044.2,5171.7,5352.7,5467.8,5565.2,5638.8,5771.2,5954.7,6073.5,6173.3,6265,6351.8,6462.6,6523.9,6665.3,6861.1,6984.3,7078,7150.3,7287.8,7549.8,7669,7798,8008.3,8138.5,8321.4,8444,8545.4,8636.5,8727.2,8834.6,8902.8,9041.2,9423.8,9568.1,9730.6,9856.2,10081,10223,10347,10476,10690,10820,11000,11114,11214,11286,11424,11655,11775,11879,11971,12058,12169,12238,12377,12780,12916,13085,13233,13388,13532,13723,13862,14094,14225,14408,14534,14634,14728,14816,14928,15002,15137,15375
