l,i,l,i,l,i,l,i,w,r,n,n,a,b,r
1243,1396.6,1552.8,1673.4,1892.1,1997,2190.1,2289.8,2439.8,2628.3,2807.5,2925.3,3030.4,3106.3,3223.5
1279.5,1442.4,1590.8,1729.4,1932.1,2055.4,2231.3,2358.3,2574.2,2703.2,2881.7,2995.5,3091.7,3166.2,3301.9
