l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1995.2,2117.9,2267.4,2379.4,2548.2,2653.2,2829.9,3000.2,3158,3279,3388.1,3464.7,3582.6,3758.3,3877.9,3988.9,4090.9,4177.1,4281.9,4356,4479.8
2034.3,2165.6,2311,2437.5,2591.5,2723.5,2947.8,3075.9,3232.1,3350,3452.5,3519.6,3662.1,3834.1,3952.7,4053.3,4148.2,4230,4343.1,4412.6,4558
