l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1113.7,1329.8,1482,1783.3,1989.2,2095.8,2349.3,2498.2,2677.2,2782.6,3005.4,3129.6,3273,3467.5,3646.9,3763.3,3871.5,3944.2,4061.4,4231.3,4349.3,4460.2,4561.5,4646.7,4752.8,4827.9,4946.2,5151.4,5271.8,5383.9,5484.3,5571.9,5679,5755.5,5875.1,6233.8,6411.6,6514.7,6678,6871.5,7117.9,7242.4,7354.8,7458.5,7543.5,7649.8,7729,7844,8257.8,8362.7,8795.4,8913.5,9110.9,9214.2,9368.8,9481.8,9642.4,9743.7,9820.3,9936.2,10093,10218,10330,10432,10518,10626,10704,10821
1149.3,1360.4,1518.2,1830.6,2028.8,2153.7,2386.9,2553.5,2718,2855.8,3045.8,3201.8,3409.7,3539.4,3717.1,3834.2,3930.2,4001.8,4137.8,4302.4,4419.7,4521.2,4617.2,4704.3,4818.2,4886.6,5024.2,5224.2,5344.8,5446.2,5541.8,5628.8,5743.4,5811.5,5950.3,6289,6455.8,6589.7,6815.3,6949.8,7191,7315.8,7421.4,7514.8,7603.5,7713.3,7787.1,7922.9,8298.6,8435.5,8837.2,8980.1,9154.2,9288.2,9416.8,9555,9701,9809.1,9879.9,10018,10167,10294,10395,10490,10579,10691,10760,10899
