l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,r,n,a,d,f,a,b,r,n,n,a,d,f
1990,2246.9,2400.3,2581.4,2709.2,2887.3,3053.5,3258.6,3404.8,3586.8,3705.4,3909.7,4016.6,4181.1,4335.6,4500,4616.2,4723.3,4796.4,4910.8,5078.8,5202,5311.7,5412.4,5496.6,5600.2,5676,5794.4,6002.4,6125.1,6235.4,6338.7,6421.9,6529.7,6604.7,6723.7,6979.2,7130.5,7237.1,7400.5,7580.2,7756.5,7879.1,7988.6,8087.6,8175.1,8278.6,8353.5,8471.6,8702.3,8807.1,9035,9138,9297,9484.4,9666.1,9783.5,9896,9971,10086,10351,10502,10605,10754,10943,11152,11268,11379,11454,11572,11761,11878,11989,12091,12175,12279,12354,12476,13057,13168,13342,13450,13652,13756,13965,14073,14243,14350,14512,14656,14767,14868,14956,15059,15136,15255,15468,15587,15699,15801,15890
2025.5,2281.8,2441.2,2619.1,2763.7,2928.2,3104.2,3298.4,3462.3,3625.7,3768.8,3948.4,4088.7,4283.8,4409,4571.9,4686.7,4786.5,4852.3,4988.5,5151,5272.2,5374.6,5467,5550.4,5663.1,5732.7,5872.4,6076.7,6200,6299.2,6393.4,6480.5,6588.8,6661.8,6800,7029.8,7174.2,7302.5,7526.8,7656.8,7828.6,7949.8,8053.2,8144.3,8229.1,8338.2,8412.6,8549.8,8744.6,8872.1,9076.3,9209,9437.9,9561.9,9737.4,9854.8,9960.2,10026,10165,10408,10545,10679,10887,11019,11225,11343,11444,11512,11652,11833,11949,12054,12147,12235,12345,12415,12556,13095,13229,13385,13514,13696,13831,14009,14140,14288,14413,14591,14725,14828,14928,15013,15120,15195,15334,15540,15660,15766,15859,15947
