l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,l,i,l
1610.4,1794,1980.3,2180.2,2660.6,2811.4,2985.9,3133.9,3356.5,3497.1,3656.6,3766.3,3915.9,4012.5,4084.9,4199.2,4393.3,4504.2,4607.4,4681.2,4795.2,4970.9,5081.9,5192.1,5287.5,5369.6,5471.8,5547.1,5661.6,5852.6,5968.9,6074.7,6150.9,6263.5,6844.8,6969.1,7296.7
1641.2,1831.3,2017.6,2222.8,2699.9,2856.6,3022.6,3184.5,3392.6,3550.9,3697,3827.3,3967.8,4067.9,4139.3,4270.6,4461.5,4572.3,4670.5,4737.2,4871.8,5038.8,5153,5253.3,5341.3,5426.3,5528.8,5598.3,5734.2,5923,6041.1,6132.5,6206.9,6340.3,6880.1,7020.3,7327.2
