l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,f,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1834.8,1978.4,2190.3,2364.3,2553.7,2722.4,2923,3051.7,3285.6,3442,3670.5,3819,4012.4,4125.8,4380.8,4554,4744.4,4850.5,4994.7,5176.2,5346.5,5469.5,5576.5,5681.5,5970.4,6152.3,6257.6,6403.1,6596.4,6784.6,6902.2,7012.8,7112.9,7198.4,7301.8,7376.9,7494.8,7867.7,8035.3,8138,8303.6,8482.8,8654.8,8773.8,8885.4,8984.9,9070.2,9174.9,9250.7,9369.1,9564.3,9693.9,9804.1,9904.1,9991.2,10097,10172,10292
1868.4,2015.7,2229.1,2408.8,2594.8,2774.8,2962,3107.8,3326.3,3497.6,3709.5,3870.4,4056.3,4193.5,4420.4,4608.3,4786.1,4915.2,5124.8,5254.6,5419.3,5539.2,5637.2,5724,6019.7,6191.8,6332.8,6538.4,6675.7,6857.1,6973.3,7076.6,7171.9,7255.7,7365.1,7438.7,7576.5,7916.2,8078,8210.1,8430.1,8565.5,8726,8848.1,8948.5,9042.4,9124.7,9233.6,9308.2,9447.2,9636.9,9766.5,9866.1,9961.3,10047,10161,10230,10369
