l,w,l,l,i,l,i,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1982.7,2039.7,2288.3,2410.6,2588,2765.8,2879.6,3258.7,3439.9,3570,3779.2,3923.6,4113,4223.6,4396.7,4512.7,4774.9,4888.3,5069.7,5171.5,5244.9,5360.2,5579.8,5722.3,5832.6,5933,6018.6,6123.1,6197.8,6318.9
2025.2,2182.3,2327.3,2451.7,2637.6,2803.6,2941,3314.8,3479.2,3631.4,3820.1,3982.7,4152.4,4293.5,4443.6,4580.3,4817,4955.2,5128.5,5236.3,5304.4,5437.8,5652.8,5794.7,5897.9,5990.4,6073.8,6185.8,6254.5,6395.8
