l,l,l,i,l,i,l,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,l,i,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1981.3,2191.5,2547.3,2673.6,2858.8,3001.4,3180,3341.6,3577.2,3694.7,3854.8,3955.4,4032,4148.2,4404.5,4573,4680.2,4840.8,4950.4,5092,5281.4,5472.8,5594.7,5701.3,5774.5,5891.1,6077.5,6197.9,6306,6407.8,6492.8,6599.9,6676,6797.8,7030,7137.8,7304.7,7407.4,7483.2,7600.4,7772.3,7891.7,8002.2,8102.6,8188.6,8295.5,8371.4,8489.9,8820.3,8978.5,9082.3,9244,9427.7,9603.5,9722,9831.2,9906.2,10024,10316,10478,10586,10842,10953,11110,11291,11465,11588,11698,11772,11891,12101,12211,12504,12655,12764,13066,13170,13417,13523,13672,13783,13938,14048,14251,14354,14430,14545,14730,14847,14957,15056,15141,15250,15326,15450
2017.4,2229,2585.4,2722.9,2894.7,3051.5,3220,3387.2,3614,3751.7,3905.7,4017.9,4084.4,4224.1,4461.2,4612.9,4746.9,4883.6,5014.9,5216.3,5356.7,5547.9,5664.1,5761.7,5831.6,5969.3,6151.1,6267.6,6369.5,6463.2,6545.1,6660.8,6727.5,6872.2,7069.2,7200.3,7359.2,7469.5,7535.2,7676.8,7846.1,7962.8,8066.8,8158.6,8240.7,8358.3,8424.4,8565.8,8873.8,9022.5,9147.1,9375.2,9505.6,9677.6,9792.9,9893,9959.7,10100,10366,10521,10657,10881,11016,11237,11367,11542,11661,11760,11828,11970,12145,12279,12564,12696,12834,13109,13237,13461,13591,13717,13852,13985,14116,14304,14415,14483,14623,14804,14923,15021,15113,15195,15313,15380,15529
