i,l,l,l,i,l,i,l,i,l,i,i,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,i,l,i,l,l,i,w,r,n,n,a,b,r,i,l,i,l,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
2738.8,3027.8,3189.3,3595.3,3759.8,4004,4147,4339.8,4463.2,4677.5,4791,4944,5045.7,5123.2,5238.8,5432.9,5552.2,5660.6,5760.9,5848.1,5950.6,6025.9,6144.8,6398.3,6542,6645.1,6818.3,6927.4,7125.3,7229.3,7392.1,7493.8,7571.5,7689.7,7931.9,8092.5,8217.8,8364.3,8528.6,8698.8,8817.2,8926.5,9026.7,9113.8,9217.1,9292.7,9413.2,9703.3,9871.4,9978.4,10147,10319,10495,10615,10724,10800,10917,11253,11397,11501,11683,11842,12007,12127,12237,12336,12425,12531,12611,12728,12945,13085,13437,13581,13685,13974,14265,14370,14536,14701,14890,15010,15118,15201,15320,15668,15927,16039,16220,16514,16615,16694,16813,16988,17105,17216,17295,17415,17737,17897,17999,18166,18268,18346,18464,18809,18959,19066,19321,19430,19583,19716,19872,20051,20245,20368,20479,20578,20668,20776,20854,20980
2776.4,3060.8,3224.1,3625.9,3794.7,4039.7,4194.3,4376.3,4517.2,4713.2,4848.2,4987.5,5100.8,5170.3,5310.2,5497.4,5616.6,5718.6,5816.2,5898.2,6005,6078.7,6217,6444.8,6579.9,6704.6,6858.6,6997.6,7162.1,7294.8,7444.3,7549.1,7623.2,7761.1,7984.5,8129.7,8266.9,8467.7,8598.1,8768.4,8882.8,8989.1,9082.3,9163.8,9272.7,9346,9484.5,9762.5,9913.9,10042,10255,10393,10565,10685,10782,10853,10989,11299,11437,11574,11780,11913,12077,12194,12298,12392,12479,12588,12662,12803,12985,13118,13483,13619,13746,14008,14303,14439,14639,14773,14961,15081,15179,15250,15394,15714,15962,16109,16260,16561,16671,16747,16889,17057,17177,17276,17349,17488,17785,17935,18064,18214,18326,18402,18535,18858,18998,19129,19360,19498,19626,19776,19993,20127,20309,20431,20540,20637,20721,20834,20908,21051
