l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,n,n,a,d,f,a,b,r
1974.8,2275.7,2400.2,2552.2,2651.2,2730.3,2843.9,3012,3125.6,3232.2,3333.4,3417,3522.3,3598.8,3712.6,3953.2,4109.2,4210.1,4353,4535,4724.4,4843.4,4950.8,5051.5,5136.4,5241.9,5321.3,5439.2,5704,5838.2,5936.5,6097.5,6195.9,6274.9,6391.2,6657.8,6802.6,6903.2,7071.2,7240.4,7406.5,7526.2,7636.4,7714.4,7830.7,8012.7,8134.9,8243,8343.7,8429.3,8534.5,8614.6,8732.4,8952.7,9055.3,9348.1,9448.7,9610.7,9789,10022,10142,10250,10352,10438,10544,10620,10737,11062,11199,11304,11549,11653,11920,12041,12152,12253,12339,12442,12524,12640
2011.6,2314.3,2453.1,2605.4,2711.3,2778.9,2918.6,3079.6,3195.1,3292.7,3385.7,3471,3582.8,3649.3,3789.5,4007.9,4150.2,4290.7,4481.7,4613.5,4797.6,4914.9,5013.6,5108.1,5194.7,5304.8,5374.8,5514,5752.5,5876.7,5968.5,6151.3,6257.7,6329,6467.6,6711.1,6839.9,6967.2,7184.7,7313.4,7479.4,7600.2,7697.7,7760.1,7905.8,8085.8,8207.7,8308.4,8400,8487.8,8599,8667.1,8807.7,8990.8,9124.7,9391,9512.4,9732.8,9866.5,10095,10216,10315,10411,10500,10607,10676,10819,11117,11246,11379,11592,11730,11995,12115,12216,12312,12395,12508,12579,12719
