l,i,l,i,l,l,i,l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,f,a,b,r,i,l,i,l,i,l,i,w,r,n,l,l,l,n
1989.3,2131.4,2333.1,2480.9,2652.9,2787.3,2917.3,3132.8,3267.9,3398,3550.6,3650.3,3725.2,3840.7,4023.4,4143.1,4252.1,4352.8,4438.1,4542.6,4617.2,4735.1,4926.3,5044.6,5156.6,5257.5,5345.1,5449.4,5526,5648.5,5855.4,5960.6,6136.5,6323.8,6512.9,6632.5,6740.5,6843.5,6929.9,7035.4,7111.4,7230.1,7528.8,7685,7791.2,7955.2,8140.6,8315.4,8437.1,8545.6,8619.9,8739.7,8929.4,9051.6,9162,9265.2,9350,9458.1,9535.6,9656.3,9950.7,10093,10200,10357,10460,10536,10654,10820,10941,11052,11153,11240,11346,11424,11546,11739,11840,12033,12134,12212,12331,12694,12843,12948,13221,13327,13469,13585,13742,13936,14166,15087,15226,16015,16126
2025.4,2180.3,2376.4,2531.8,2696.2,2830.6,2977.4,3176.2,3307.9,3462.1,3602.1,3711.2,3779.2,3919,4096.5,4214.5,4314.5,4408.8,4491,4600.4,4675.4,4813.1,4996.9,5117.2,5222.2,5315.5,5403.5,5515.1,5586.5,5727.4,5899,6030.7,6271.9,6400.6,6586.1,6706,6806.6,6901,6989.2,7098.2,7168.4,7308.8,7582.2,7729.9,7855,8089.4,8221.1,8388.3,8508.3,8609.9,8677.1,8820.1,9002.8,9124.5,9226.5,9320.3,9412.6,9524.8,9592.9,9735.8,10005,10138,10263,10410,10523,10594,10733,10893,11013,11116,11211,11297,11411,11478,11624,11778,11904,12086,12196,12270,12412,12749,12887,13020,13263,13396,13516,13656,13880,14014,14238,15131,15259,16061,16273
