i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1827.4,1998.9,2147.8,2355.6,2475.2,2668,2780.7,2962.1,3066.2,3208.6,3384,3577.8,3692.3,3799.2,3872.3,3986.3,4179.1,4293.1,4399,4496.6,4577.8,4678.1,4751.4,4870.2
1867.6,2037.2,2195.1,2392.6,2530.8,2709.7,2843.6,3003.5,3138.7,3328.6,3457.1,3648.1,3768.2,3866.6,3932.4,4060.7,4245.8,4361.1,4459.2,4547.8,4636.4,4738.3,4808.1,4945
