l,l,l,l,l,i,l,i,l,i,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,f,w,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f
2457.7,2632.8,2783.5,2933.1,3298.8,3429.7,3614.3,3762.5,3992.7,4108.7,4528.9,4692.8,4795.1,4999.6,5096.2,5252.5,5350.9,5425,5537.2,5672.1,5787.1,5891.5,5966.7,6084.3,6241,6356.8,6466.8,6566.1,6651.3,6755.9,6830.8,6947.8,7212.1,7398.2,7500.8,7657.5,7761.1,7915.6,8020.9,8190.6,8290.2,8365.8,8483.5,9033,9124.5,9373.5,9479.9,9612.4,9716.6,9897.8,9996.4,10166,10328,10461,10579,10684,10759,10876,11047,11165,11275,11374,11459
2496.2,2669.3,2819.7,2974.3,3337.2,3480,3655.6,3820.9,4032.9,4182.9,4571.1,4730.4,4864,5038,5163.3,5305.8,5411.5,5477.4,5616,5745.8,5858.7,5957.2,6029.2,6162,6313.7,6432.3,6533.2,6623.2,6709.3,6825.1,6895.1,7025.1,7273.6,7445,7574.4,7706.2,7839.4,7964.2,8090.2,8248.8,8354.9,8427.2,8562.2,9114.5,9223.6,9410.2,9540.3,9652.8,9777.8,9936.9,10061,10277,10403,10535,10650,10748,10816,10954,11120,11237,11339,11430,11513
