l,l,i,l,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1989.6,2193.2,2374.4,2556.2,2681.9,2829.9,3042.8,3176.2,3315.1,3515.6,3658.9,3907.6,4035.7,4245.7,4349.4,4529,4628.3,4703,4813.9,4977.8,5097.2,5202.2,5276.5,5394.6,5555.3,5671.8,5775.5,5876.4,5960.9,6063.4,6136.5,6252.6,6432,6549.9,6657.5,6757.6,6839.9,6945.8,7022.6,7137.3,7492.1,7662.3,7765.9,7918.2,8018.8,8178.2,8362.5,8522.4,8642.1,8749.2,8824,8941.2,9139.4,9257.6,9365.5,9467,9551.9,9655.7,9733.6,9847.1
2024.2,2230.5,2423.2,2592.6,2724.7,2882.3,3081.2,3220.2,3369.8,3555.7,3711.9,3950,4097.8,4284.2,4418.9,4585.8,4689.1,4759.7,4888.7,5051.4,5166,5265.9,5334.7,5474.2,5631.9,5741.8,5839.7,5931.7,6017.1,6127.3,6191.6,6331.1,6505.9,6621.3,6720.8,6810.9,6892.8,7006,7073.7,7214.6,7546.1,7704.1,7839.6,7961.9,8090.2,8313.2,8442.4,8596.7,8712.4,8815.2,8883.2,9020.5,9213.6,9329.5,9432.2,9524.7,9610.9,9718.9,9786,9922.3
