l,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1975.2,2127.5,2358.7,2581.7,2754.1,2902.7,3020.2,3266.5,3404.9,3618.9,3747.3,3904.6,4006.8,4080.8,4199.6,4384.8,4509.6,4615.7,4715.4,4802.4,4908.4,4982.9,5098.8,5600.3,5823.5,5933.8,6094.2,6199.1,6275.7,6393.3,6590.7,6709.9,6819.7,6893.8,7009.2,7258.4,7409,7515.6,7784.5,7891.1,8062.4,8234.9,8428.2,8545.1,8655.8,8730.4,8849.6,9035.8,9152.9,9264.3,9336.9,9456.7,9795.8,9973.8,10079,10279,10383,10458,10574,10744,10861,10972,11046,11164,11303,11432,11543,11641,11725,11830,11907,12028,12505,12614,12790,12961,13131,13247,13358,13435,13553,13745,13871,13982,14081,14167,14273,14350,14470,14656,14779,14891,14992,15079,15186,15262,15384,15931,16111,16220,16365,16476,16622,16817,17051,17177,17287,17386,17472,17579,17656,17773
2014.5,2168,2402.7,2622.9,2800.3,2941.5,3073.3,3306.1,3460,3657.8,3813.5,3954.2,4065.1,4135.9,4276.3,4457.6,4581.6,4679.6,4769.9,4855.7,4970.5,5039.3,5176.6,5651,5867.2,6008.6,6155.7,6263.1,6329.7,6470.5,6663.2,6784.4,6882.6,6951.1,7086,7312.9,7451.7,7581.1,7828.4,7958.5,8180.3,8312.2,8500.4,8619.2,8718.3,8787.4,8928,9109.8,9223.9,9326.8,9392.6,9533.8,9853.2,10017,10154,10337,10444,10519,10651,10818,10933,11035,11104,11242,11379,11505,11605,11697,11784,11896,11965,12107,12544,12676,12902,13039,13206,13322,13422,13491,13632,13818,13945,14047,14137,14223,14337,14410,14548,14732,14852,14957,15049,15138,15251,15321,15465,15980,16156,16294,16411,16544,16755,16895,17122,17249,17350,17444,17533,17645,17713,17850
