l,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i
1765.5,1967.3,2146,2291.6,2467.8,2646.5,2759.3,3059.8,3197.1,3351,3457.5,3535.1,3654.7,3853,3980.7,4092,4196,4285.5,4393.1,4470.3,4590.1,4944.1,5099.7,5207.8,5375.9,5543.1,5752.2,5874.1,5988.4,6091.7,6176.8,6285.3,6366.3,6484.3,6847.2,7004.9,7108.7,7285.6,7470.3,7683,7805.8,7919.4,7998.3,8118.3,8380.4,8565.4,8673.7,8832.1,9022.6,9145.1,9278.3,9391.9,9495.3,9582.2,9692,9769.8,9894.7,10245,10410,10514,10675,10784,10862,10983,11266,11383,11610,11719,11870,11987,12579,12692,12851,12963,13124,13231,13384,13575,13766,13891,14002,14085,14204,14540,14702,14810
1802.7,2016.4,2188.6,2331.6,2517.2,2683.4,2819.8,3097.6,3254.5,3410.2,3520.2,3596.6,3734.3,3927.7,4052.2,4157.2,4253.4,4340.7,4455.3,4524.9,4669.6,4996.3,5142,5281.8,5488.4,5623.2,5826.8,5948,6050,6149.1,6233,6349.2,6420.4,6562.9,6903.8,7047.8,7184.6,7408.9,7549.1,7757.4,7878.6,7984.2,8059.2,8197.9,8442.8,8608.1,8748.9,8966.1,9103.6,9215.7,9351.1,9455.7,9552.9,9644.7,9759.7,9830.5,9974,10294,10451,10577,10740,10848,10921,11065,11310,11455,11650,11786,11916,12066,12617,12753,12892,13029,13166,13304,13518,13655,13841,13964,14066,14136,14283,14593,14748,14878
