l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1660.8,1815,1991.5,2090.9,2246.6,2424.1,2615.2,2730.1,2833,2906.1,3022.1,3283.5,3442.2,3543.8,3691.6,3790.8,4022.4,4122.3,4269.7,4465.8,4666.8,4781.2,4890,4964,5078.6,5279.1,5397,5503.8,5602.8,5687,5791.1,5865.4,5983.1
1694.8,1860.5,2033.5,2160.5,2373.8,2499.4,2683.9,2796.2,2897.5,2964.6,3099.2,3339.9,3484.9,3612.3,3740.5,3865.7,4064.3,4190.4,4415.5,4541.7,4737.6,4851.8,4952.7,5016.7,5159.2,5351.9,5469.9,5567.7,5657.9,5745.1,5855.2,5922.9,6061
