l,l,l,l,l,i,l,i,l,i,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1981.4,2153.7,2326,2479.7,2706,2861.8,3008.9,3117.7,3260.8,3371.4,3531.3,3636.8,3710,3825.2,3985.9,4111.2,4219.8,4295.7,4410.2,4580.4,4708.5,4817.9,4918.3,5003,5109.8,5187.4,5300.8
2026.3,2205.7,2375.2,2523.3,2748.1,2914,3059.3,3189.8,3312.5,3445.6,3596.5,3703.1,3773.8,3903.6,4062.1,4184.5,4287.1,4356,4490.6,4655.4,4781.5,4883.3,4975.7,5065.4,5167.2,5234.9,5379.8
