l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1988.6,2211.2,2360.6,2649.6,2847.5,3029.4,3185,3444.5,3639.1,3875.9,4019.8,4217.8,4357.3,4553.1,4670.4,4894.3,5093.7,5282.3,5456.7,5635.4,5765.7,5975.4,6082,6259.9,6361.8,6438.9,6554.3,6728.2,6847.1,6956.7,7058.6,7143.6,7249.5,7328.2,7444.6,7804.5,7980.8,8124.3,8968.5,9112.2,9280.2,9398.1,9552.9,9654.9,9731.5,9846.6,10041,10157,10267,10349,10464,10820,10997,11102,11259,11361,11437,11559,11772,11893,12003,12104,12191,12297,12375,12492
2022.6,2250.4,2400.3,2686.7,2895.8,3069.3,3237.9,3484.2,3692.7,3915.8,4073.6,4256.7,4410.3,4598.8,4736.3,4935.2,5150.7,5320.4,5509,5678.3,5811,6016.2,6152.3,6318.2,6420.8,6491.7,6629.5,6799.7,6918.1,7021.9,7116.2,7204.5,7310.4,7381,7521,7856.5,8021.7,8181.8,9007.7,9166.6,9323.3,9467.6,9611.5,9718.9,9792.1,9925.8,10111,10230,10332,10405,10543,10875,11040,11176,11317,11427,11493,11640,11841,11964,12067,12163,12253,12362,12432,12572
