l,l,l,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1744.6,1978.8,2165,2295.7,2434.7,2595.3,2705.6,2913.6,3019.3,3181.1,3278.6,3351.9,3467.8,3623,3743.4,3849.6,3924.6,4040,4215.7,4337.4,4445.2,4544.1,4631,4735.6,4809.7,4929.1,5183,5348.1,5458.9,5624.7,5795.1,5974.2,6094.9,6203.9,6280,6397.2,6621.5,6750.4,6860.8,6960.4,7045.5,7149.4,7226.2,7342.5,7645.2,7803.2,7908.5,8075.3,8179.7,8377.9,8480.9,8638.6,8740.1,8815.9,8933.2,9145.3,9267.3,9373.8,9449.9,9566.9,9730.2,9859.8,9972.7,10071,10155,10260,10335,10456,10804,10991,11092,11247,11354,11579,11699,11982,12093,12343,12481,12647,12794,12902,13159,13265,13480,13584,13751,13943,14133,14257,14363,14440,14558,14739,14864,14975,15075,15160,15267,15343,15464
1780.3,2017.8,2197.4,2333.8,2481.3,2633.7,2763.3,2950,3078.7,3228.3,3338.6,3407.2,3544.4,3696.8,3815.5,3912.7,3981.2,4115.9,4288.9,4408.4,4509,4600.6,4683.3,4792.5,4865.4,5005.7,5240,5389.3,5522,5731.8,5871.4,6048.6,6167.6,6267.4,6334.6,6474.7,6695.6,6823.3,6924.8,7017.3,7101.3,7213.7,7279,7421.7,7699.7,7848.6,7971.8,8118.6,8247.1,8422,8546.3,8689.5,8802.4,8870,9009.9,9219.8,9339.2,9438.9,9510,9646.2,9805.7,9934.8,10037,10128,10216,10324,10394,10533,10855,11032,11158,11292,11422,11621,11757,12023,12159,12385,12524,12705,12839,12968,13204,13336,13525,13651,13883,14018,14206,14330,14427,14496,14635,14812,14938,15038,15133,15213,15330,15400,15538
