l,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1981.8,2150.3,2330.2,2557.7,2762.3,2922.4,3157.4,3310.1,3519.4,3626.1,3819.5,3930,4074.6,4271.1,4450.4,4571.3,4678.6,4756.6,4868.9,5078.3,5249.2,5424.5,5530.5,5756.6,5875,6029.4,6130.9,6203.8,6321.3,6524.5,6647.3,6756.7,6856.7,6941.6,7047.2,7125.4,7241.5
2021.2,2194,2372.8,2610,2807.1,2975.6,3201.1,3365.8,3563.9,3702,3864.8,4000.8,4220.6,4350.4,4526.2,4643.6,4737.5,4800.7,4950.9,5151.8,5308.1,5475.6,5603.8,5806.5,5947.5,6090.2,6197.3,6266.3,6403.5,6596.2,6720,6823.7,6915,7002.7,7102.9,7172.2,7321.3
