l,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i
1314.2,1691.3,1805.8,1976.6,2074.3,2150.9,2268.7,2465.5,2588.6,2700.9,2804.1,2889.4,2994,3071.9,3195.6,3506.1,3678.9,3781.7,4013.3,4115.4,4266.2,4456.5,4642.1,4763.4,4875.5,4979.2,5065.5,5174.3,5252,5369.9,5767.2,5952.4,6057,6221,6325.9,6486.7,6588.4,6664.4,6785.4,6959.7,7080.3,7191.7,7294.3,7382.1,7488.1,7565.9,7686.6,7906.6,8027.3,8138.9,8245.2,8331.8,8442.4,8520.6,8643.6,8985.5,9162.5,9270,9430.4,9536.2,9614.5,9732.6,10092,10194,10380,10493,10768,10872,11048,11214,11371,11499,11612,11717,11804,11912,11991,12114,12990,13157,13268,13472,13605,13740,13874
1348,1726.8,1866.4,2025,2133,2210.1,2343.3,2536.7,2659.7,2764,2858.2,2945,3058.4,3129.2,3270.9,3558.8,3716.8,3845.4,4051.1,4188.9,4399.8,4532.9,4714.1,4837.4,4938.3,5036.7,5121.6,5236.2,5313.4,5448.2,5824.8,5993.5,6126.8,6257.3,6397.1,6544.7,6653,6724,6863.2,7035.1,7156.1,7255.6,7352.6,7439.9,7550.9,7626.2,7766.4,7978,8099.3,8204.8,8303.4,8394.3,8506.2,8577.6,8722.5,9037.1,9203.8,9336.4,9486.6,9601.5,9671.5,9813.6,10135,10267,10422,10566,10811,10946,11160,11295,11448,11573,11678,11775,11859,11976,12046,12193,13052,13199,13334,13514,13674,13784,13944
