l,i,l,i,l,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,l,l
1976,2114.6,2293.9,2391.9,2594.4,2694.6,2868,2972.4,3249.8,3349.8,3499.5,3679.6,3831.6,3946.8,4020.7,4132.8,4273.8,4389.1,4498.9,4594.7,4677.4,4779.7,4855.8,4969.9,5149.1,5267.6,5377.1,5476.2,5559.8,5661.8,5737.3,5851.9,6164.7,6305.6,6408.5,6554.8,6737.8,6922.9,7038.3,7146.9,7249,7334.4,7438.6,7513.4,7629.7,7825.5,7946,8052.8,8153.2,8238.2,8343.6,8420.3,8540,9001.5,9142.5,9243.7,9397.8,9578.4,9765.9,9890.8,10001,10081,10200,10929,12991
2010.8,2160.4,2331.8,2450.2,2628.9,2764.3,2910,3037.5,3290.1,3413,3628.7,3751.7,3903.4,4004.5,4080.9,4207.6,4343.7,4462.1,4560.2,4651.1,4734.8,4841,4915.3,5044.8,5219.8,5336.7,5436.5,5529.2,5619.2,5723.9,5797.2,5927.8,6223.1,6347.7,6482.4,6688.3,6818.4,6994.6,7112.2,7213.7,7303.9,7394.8,7500.5,7568.9,7709.2,7895.6,8020.8,8118.2,8211.4,8297.3,8409,8477.2,8620.8,9055.3,9184.8,9319.4,9526.8,9656,9839.5,9965.2,10067,10136,10275,10971,13035
