i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1441.3,1675.9,1834.5,1975.1,2088.2,2326.9,2451.6,2650.5,2778.4,2986.1,3120.2,3267.9,3447.5,3646,3767.6,3875.6,3973.3,4059.8,4164.8,4241.1,4360.7,4794.8,4934.9,5064.8,5216.3,5388.8,5565.6,5679.6,5788.2,5869.1,5986.7,6616.4,6786.3,6887.6,7052.5,7156.2,7309.2,7489.8,7641.2,7762.4,7874,7948.3,8067.9,8295.8,8420,8529.5,8629.7,8715.6,8820.4,8897.5,9017.1,9314.9,9459.5,9563.2,9704.8,9811,9979.8,10080,10325,10426,10578,10766,10944,11062,11172,11248,11369,11528,11654,11763,11863,11950,12057,12133,12255,12655,12813,12919,13075,13270,13462,13582,13689,13765,13888,14073,14196,14306,14407,14496,14602,14679,14806
1474.2,1715.1,1874.4,2020.4,2144.6,2365.7,2486.6,2685.8,2824.3,3025.8,3171.5,3394.9,3521.2,3716.2,3839.5,3939.2,4031.1,4113.2,4227.2,4294.3,4433.8,4843.8,4977.1,5114.4,5332.9,5462.7,5632.3,5750.4,5851.5,5919.2,6063.2,6672.3,6829,6957.3,7095.2,7229.3,7437.7,7564.5,7716.5,7834.9,7934.2,8000.6,8141.6,8367.8,8492.8,8595,8688,8774.8,8886.4,8950.1,9092.8,9374.5,9506.7,9631.4,9748.6,9884.2,10023,10157,10367,10500,10713,10843,11015,11137,11237,11301,11449,11606,11726,11827,11921,12007,12119,12192,12334,12705,12857,12980,13219,13343,13539,13652,13754,13821,13963,14145,14266,14372,14465,14555,14667,14737,14882
