l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1696.9,1976,2144.6,2321.3,2495.3,2688.6,2813.3,2983.3,3086.2,3162.8,3281.9,3477.6,3613.9,3723.8,3827.1,3914.2,4019.8,4098,4215.6,4503.4,4715.1,4826.6,4986.9,5092.5,5171.1,5290.6,5456.2,5582.7,5694.3,5797.2,5884.2,5992.5,6070.3,6191.2,6386.2,6507.7,6620.8,6703.1,6820.2,7123.2,7297.1,7406.2,7566.4,7757.1,7941.9,8061.8,8174.6,8278.1,8365.4,8473.5,8550.3,8674.5,8846.7,8975.4,9088.2,9192.8,9280.8,9389.7,9468.2,9591.1,9835.7,10020,10182,10288,10584,10688,10860,11030,11202,11327,11436,11544,11633,11740,11818,11941,12237,12404,12509,12688,12861,13050,13171,13286,13365,13486,13705,13964,14074,14343,14470,14672,14783,15020,15142,15296,15408,15582,15762,15926,16051,16163,16268,16353,16463,16543,16666
1729.1,2014.2,2193.7,2354.8,2549.4,2729.6,2870.4,3033.9,3146.5,3218.8,3360.2,3553.9,3683.8,3786.9,3884.9,3972,4082.8,4156.3,4288.1,4554.3,4757.8,4893.3,5044.5,5154.9,5227.2,5370.1,5531.4,5657.8,5756.3,5855.6,5940.8,6054.3,6129.8,6271,6459,6581.2,6684.7,6753.2,6896.3,7178.5,7341.3,7474,7700.9,7835.8,8016.3,8136.1,8238.8,8336.3,8425.7,8538,8607.3,8754.6,8923.1,9052,9155.3,9249.7,9340.7,9455.2,9524.8,9668.8,9876.8,10077,10225,10358,10623,10756,10974,11108,11281,11401,11506,11599,11694,11805,11878,12022,12293,12447,12580,12803,12944,13125,13250,13353,13421,13567,13779,14011,14142,14387,14534,14719,14854,15068,15213,15344,15484,15708,15842,16002,16124,16228,16325,16413,16528,16602,16748
