l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1032.6,1174.2,1341.1,1587.9,1761.7,1977.4,2133.3,2330.8,2511.2,2686.7,2785.6,2859.4,2977.8,3148.4,3268.8,3377.8,3479.9,3564.4,3670.7,3744.5,3861.6,4298.8,4458.7,4567.5,4714.5,4906.9,5103.1,5227.4,5334.4,5412.3,5528.2,5855.2,6029.3,6136.3,6283.7,6474.8,6663.6,6783,6891.8,6966.1,7083.8,7275.7,7394.5,7503.6,7604,7690,7795.8,7871.1,7990.5,8375,8565.5,8673.4,8861.6,8960.4,9035.2,9155.9,9550.8,9712.2,9813.3,9960.8,10151,10325,10441,10553,10628,10744,10964,11084,11194,11292,11378,11484,11560,11681,12085,12266,12374,12580,12702,12856,13045,13229,13351,13460,13561,13647,13752,13829,13948,14124,14242,14355,14430,14549,14867,15026,15136,15360,15463,15757,15866,16040,16140,16218,16335,16517,16637,16746,16848,16935,17042,17118,17240,17547,17698,17804,18052,18195,18405,18532,18760,18905,19141,19248,19436,19540,19616,19734,19907,20032,20144,20222,20341,20528,20647,20761,20860,20947,21053,21131,21249
1069.5,1210.6,1385.2,1621.9,1803.3,2013.8,2179.6,2367.8,2562.6,2733.2,2844,2915.1,3052.7,3218.9,3339.7,3438.6,3533.3,3617.7,3728.5,3800.8,3940.2,4344.7,4502.6,4630.8,4849.6,4982.8,5176.2,5297.1,5395.8,5464.4,5602.2,5904.3,6072.7,6198,6418.8,6547.4,6736.7,6853.5,6953.9,7022.3,7159.7,7349.7,7465.2,7568.8,7659.2,7743.7,7854.1,7931.2,8066.2,8423.1,8606.2,8742.1,8914.1,9023.5,9093.9,9231.5,9596.7,9754.5,9887.4,10099,10226,10398,10514,10615,10683,10821,11038,11157,11252,11349,11438,11549,11613,11758,12132,12310,12442,12620,12784,12993,13123,13302,13424,13524,13618,13707,13814,13883,14027,14201,14315,14419,14487,14626,14917,15074,15200,15403,15534,15798,15939,16088,16203,16274,16413,16591,16710,16813,16904,16990,17106,17176,17320,17596,17741,17876,18094,18251,18447,18595,18802,18961,19182,19315,19487,19602,19671,19811,19981,20105,20208,20281,20419,20607,20723,20825,20919,21001,21117,21192,21326
