l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,n,a,b,r
5190,5478.9,5947,6109.7,6216.3,6390.7,6495.5,6649.4,6751,6826.1,6940,7092,7211.6,7318.8,7417.3,7501,7605.2,7679.7,7796.3,8063.7,8206.8,8307.1,8461.3,8558,8633,8749.1,8896.9,9018.1,9125.5,9226.4,9312.4,9416.7,9492.8,9608.8,9759.7,9880.3,9988.9,10091,10177,10283,10358,10476,10690,10796,10996,11096,11239,11439,11594,11714,11821,11895,12013,12171,12288,12397,12498,12584,12690,12766,12887,13140,13287,13389,13550,13653,13829,13929,14071,14256,14398,14513,14587,14707,14889,15003,15116,15217,15303,15408,15482,15604,15878,16044,16150,16403,16506,16653,16842,17048,17172,17281,17385,17470,17575,17651,17772,18090,18280,18386,18605,18709,19001,19105,19264,19367,19442,19562,19752,19880,19991,20093,20179,20283,20360,20480,20810,20967,21070,21255,21358,21514,21625,21776,21963,22153,22277,22386,22489,22578,22686,22766,22886,23500,23618,23785,23888,24088,24190,24347,24536,24683,24803,24912,24991,25110,25339,25477,25588,25690,25780,25888,25964,26082,26307,26432,26546,26648,26736,26845,26923,27044
5226.4,5520.7,6005.2,6155.8,6279.8,6435.3,6561.7,6708.3,6814.6,6883.7,7018.2,7163.1,7284.1,7383.2,7473.9,7560.5,7668.4,7741.1,7869.7,8119.9,8248.1,8378.2,8514.7,8622.4,8692.5,8826.4,8966.9,9086.5,9190.8,9281.4,9372.1,9481.6,9550.8,9689.1,9831.7,9951.4,10055,10150,10238,10345,10417,10554,10739,10873,11046,11174,11387,11518,11666,11785,11888,11954,12095,12245,12362,12464,12557,12645,12758,12827,12968,13204,13337,13467,13599,13730,13876,14008,14204,14336,14472,14579,14652,14788,14965,15080,15183,15279,15365,15476,15548,15686,15943,16095,16229,16451,16583,16790,16924,17120,17244,17349,17444,17531,17640,17714,17853,18151,18328,18458,18650,18791,19049,19179,19324,19434,19506,19645,19830,19957,20059,20152,20239,20352,20419,20561,20859,21010,21133,21298,21428,21558,21694,21909,22044,22226,22349,22452,22549,22637,22751,22821,22965,23542,23676,23835,23963,24135,24270,24481,24617,24756,24876,24982,25050,25195,25412,25550,25654,25750,25842,25953,26020,26164,26381,26509,26612,26706,26798,26914,26986,27125
