l,l,l,i,l,i,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1985.4,2155.3,2309.8,2521.9,2700.4,2878.4,3130.7,3310,3469,3669.2,3809.5,3982.4,4088.7,4324.9,4456.4,4622.3,4744,4912.3,5076.2,5244.4,5361.2,5466.1,5540.5,5656.2,5849.8,5967.5,6077.8,6176.5,6261.5,6365.2,6441.3,6559,6742.7,6862.6,6973.2,7048.7,7166.5,7363.4,7485.6,7595.9,7696.3,7781.5,7885.6,7961.9,8081.5,8385.9,8560.6,8669.6,9097.6,9212.7,9373.2,9473.5,9547,9664.1,9803.8,9924.8,10036,10111,10229,10478,10617,10721,10917,11022,11167,11354,11522,11641,11752,11852,11938,12042,12118,12237,12557,12698,12802,13020,13123,13289,13478,13664,13783,13891,13968,14083,14254,14379,14489,14589,14676,14780,14858,14977,15825,15957,16132,16238,16468,16577,16777,16875,17030,17220,17357,17476,17586,17661,17779,17953,18073,18183,18284,18370,18477,18552,18673
2019.7,2192.7,2347.4,2567.8,2741.4,2925.2,3169.6,3344.9,3523.7,3710,3864.1,4024.2,4150.2,4368.2,4510.7,4665.2,4820.5,5021.8,5152.6,5315.8,5428.6,5531.4,5601.1,5734.8,5924.2,6040.3,6142.7,6232.4,6315.7,6427.4,6495.2,6637.2,6813.6,6936,7038.1,7110.8,7243.8,7436.5,7558.6,7660.2,7751.4,7838.6,7948.8,8021.8,8161.1,8440.9,8602.7,8740.7,9134.7,9275.8,9426,9536.2,9604.1,9741.3,9879.9,9998.7,10105,10171,10308,10538,10661,10796,10963,11090,11305,11433,11598,11716,11816,11909,11997,12108,12179,12315,12612,12744,12873,13064,13198,13427,13558,13738,13855,13958,14023,14163,14329,14454,14554,14647,14735,14844,14914,15055,15862,16009,16175,16306,16511,16645,16819,16945,17169,17299,17432,17549,17651,17717,17857,18031,18148,18249,18342,18427,18541,18614,18752
