l,l,i,l,i,l,i,l,i,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1992.9,2343,2496.5,2649.2,2783.9,2971.3,3082.9,3317.1,3433.4,3593.1,3694.2,3769.4,3886.6,4209.4,4349.5,4459.8,4652,4759,4920.6,5115,5309.2,5428.2,5536.1,5639.8,5725.7,5833,5912.8,6028,6197.1,6315.2,6423.3,6495.1,6616.9,6776.6,6896.3,7007.5,7110,7194.2,7302.9,7378.6,7497.2,7699.4,7825.3,7937.8,8039,8126.5,8231.4,8312.1,8428.8,8706.4,8866.4,8970.2,9116.8,9309.8,9485.7,9603.1,9716.5,9791,9910.9,10138,10262,10377,10479,10566,10672,10749,10870,11147,11330,11439,11646,11752,11901,12098,12279,12403,12511,12590,12710,13341,13462,13568,13786,13893,14039,14144,14337,14444,14595,14701,14952,15088,15196,15342,15539,15698,15820,15932,16012,16131,16358,16480,16590,16695,16782,16889,16966,17087
2033.8,2388.3,2551.2,2697.1,2847.2,3017.1,3150,3358,3499.9,3652.6,3757.2,3828.9,3961.2,4273.9,4399.4,4535.3,4704.3,4839.9,5063.7,5194.1,5382.2,5499.7,5602.5,5696.8,5787.2,5896.6,5966.1,6110.2,6270.1,6386.5,6491.7,6561.3,6703.3,6852.4,6968.4,7073.5,7167.2,7258.2,7371.7,7445.7,7580.5,7771.4,7897.6,8005.2,8098.1,8187.1,8298.4,8366.4,8510.6,8770,8914.6,9050.7,9256.7,9389.7,9557.5,9677.7,9784.3,9855.2,9992.9,10214,10337,10443,10537,10628,10739,10813,10950,11209,11382,11518,11697,11832,12045,12179,12358,12476,12582,12653,12794,13403,13513,13648,13840,13974,14093,14225,14388,14521,14645,14778,15022,15141,15280,15488,15619,15777,15895,16002,16071,16214,16431,16554,16660,16756,16845,16957,17026,17168
