l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,l,i,w,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1995.3,2183.6,2356.2,2487.1,2644.8,2755.5,2928.6,3037.3,3172.7,3354.1,3541.2,3662,3771,3846.2,3962.5,4409.2,4517.2,4705.2,4809,4954.3,5155,5614.8,5745.2,5891.9,6002.3,6160.9,6262.9,6337.4,6455.3,6663.9,6791.5,6904.1,7005.3,7091.6,7198.9,7273.3,7395.4,7969.3,8132,8239.4,8397.4,8504.9,8664.5,8857.4,9064.2,9190.2,9302.5,9403,9489.3,9601.5,9676.2,9820.2
2038,2223.6,2398.6,2525.7,2687.6,2820.6,2972.1,3108.2,3299.1,3429.3,3613,3735.1,3836.7,3908.2,4039,4454.3,4588.9,4750.1,4880.5,5092.3,5230.7,5658.5,5807.8,5939,6068.7,6219.2,6328.5,6399.3,6534.2,6735.3,6865.4,6971.1,7063.5,7152.9,7266.1,7337.9,7474.7,8029,8177.7,8317.9,8445.2,8580.1,8805,8936.5,9136,9262.3,9367.5,9460.1,9550.2,9668.3,9734.9,9897.4
