l,i,l,i,l,i,n,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,l,i,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i
1995.8,2160,2357.4,2509.3,2704.8,2894.8,3144.5,3300.6,3422.4,3529.7,3605.1,3720.7,3995,4172,4274.9,4429.2,4618.1,4829.7,4947.4,5056.5,5129.4,5247.3,5453.4,5572.6,5684.1,5784.8,5869.8,5975.3,6050.6,6169.5,6474.6,6616.4,6720.9,6883.8,6985.5,7060.8,7178.9,7374,7491.5,7604.2,7703.4,7788.2,7892.8,7967.5,8086.3,8513.4,8684,8787.8,8949.4,9051.4,9123.8,9244.6,9412,9531.3,9645.2,9743.7,9829.4,9936,10010,10130,10491,10665,10769,10925,11111,11299,11420,11530,11607,11724,12348,12478,12660,12766,13142,13252,13422,13529,13743,13843,14007,14107,14181,14300,14467,14585,14694,14794,14880,14984,15063,15179,15440,15611,15713,15869,16055,16274,16394,16506,16582,16699,16856,16976,17088,17189,17273,17380,17455,17575,17891,18061,18166,18327,18434,18663,18770
2030.6,2198.7,2397.2,2558.5,2744.2,2945.5,3215.9,3373.2,3491.8,3587.5,3657.8,3796.9,4051.3,4216.8,4346.4,4563.8,4693.6,4903.2,5018.4,5119.2,5190.5,5323.3,5528.3,5644.6,5750.3,5840.3,5928.1,6040.2,6106.6,6245.6,6524.4,6660,6790.5,6934.7,7047.1,7115.1,7257.4,7448.6,7568.7,7669.4,7759.7,7849.3,7958.9,8023.7,8164.6,8567.3,8724.7,8861.3,9007.9,9116.2,9182.1,9324.6,9486.5,9606.2,9710.6,9802.3,9890.8,10000,10067,10209,10548,10709,10837,11054,11189,11374,11493,11595,11664,11802,12386,12541,12704,12832,13182,13325,13465,13592,13786,13915,14061,14170,14239,14377,14541,14659,14759,14852,14936,15048,15116,15256,15489,15653,15781,16000,16133,16348,16465,16568,16637,16777,16930,17052,17150,17244,17329,17443,17512,17653,17939,18104,18237,18373,18508,18706,18847
