l,r,i,l,l,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1983.2,2097.6,3082.8,3237.7,3430.2,3767.4,3884.4,4107.2,4212.9,4393.5,4500,4677.1,4778.4,4853.6,4964,5104,5217.4,5325,5398.9,5513.8,5752.1,5882.9,5985.2,6136.3,6322.2,6459,6580.6,6689.4,6765.2,6879.7,7028.2,7148.4,7256.1,7354.7,7439.7,7542.2,7617,7735.6,7948.8,8050.7,8202,8392.4,8576.8,8693,8805.2,8881.2,8997.6,9143.8,9263.4,9372.2,9471.8,9558.2,9663,9739.6,9859.2,10107,10210,10371,10475,10635,10736,10812,10927,11091,11209,11323,11425,11512,11619,11696,11816,12007,12133,12243,12345,12429,12537,12613,12734,13137,13291,13397,13544,13651,13873,13978,14129,14326,14467,14589,14698,14774,14894,15090,15214,15328,15428,15513,15619,15695,15812,16248,16406,16514,17250,17364,17528,17635,17806,17910,18062,18252,18429,18551,18662,18738,18856,19051,19176,19288,19389,19475,19581,19658,19780,20000,20129,20242,20343,20432,20539,20616,20740
2017.9,2212.5,3133.2,3311.8,3468.4,3805.6,3944.9,4145.2,4273.4,4433.1,4564.5,4732.4,4839.8,4907.8,5044.3,5175.7,5290.2,5388.2,5457.8,5590.9,5811.7,5926.5,6061.5,6267.9,6394.3,6530.9,6652.6,6753,6818.1,6955.2,7100.5,7221.8,7320.8,7411.2,7494.8,7604.7,7673.2,7814.3,7993.7,8117.7,8340.4,8469.4,8650.3,8768.8,8871.2,8936.6,9077.9,9217.4,9334.5,9436.1,9528,9611.9,9725.2,9796.1,9938.3,10150,10279,10412,10544,10689,10800,10871,11007,11165,11285,11391,11484,11573,11686,11753,11898,12080,12207,12308,12403,12492,12603,12672,12815,13192,13337,13469,13592,13726,13917,14054,14275,14409,14544,14663,14765,14832,14976,15167,15289,15394,15487,15575,15686,15755,15893,16303,16455,16585,17288,17427,17573,17708,17849,17986,18199,18329,18504,18623,18727,18796,18938,19126,19249,19352,19448,19537,19648,19716,19862,20074,20202,20307,20402,20493,20606,20674,20819
