i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r
1818.8,1971.2,2094.1,2258.2,2363,2537.8,2644.6,2793.9,2893.4,2969,3076.9,3230.7,3349.7,3452.6,3526.1,3639.6,3812.3,3927.4,4032.4,4104.7,4220,4398.7,4514.8,4620.8,4718.3,4799.8,4904.1,4978.8,5094.6,5336.4,5496.1,5601.3,5742.5,5928.4,6072.1,6186,6298.2,6397,6480.2,6584,6659.5,6773.6,7039.8,7214,7314,7465.4,7652.9,7823.6,7938,8049.3,8146.8,8232.2,8336.5,8412.5,8531.6,8907.6,9118.8,9220.8,9374.2,9556.9,9728.4,9844.3,9952.5,10053,10136,10240,10314,10431,10862,11021,11123,11292,11395,11548,11727,11923,12048,12155,12229,12349
1852,2008.2,2139.9,2296,2420.7,2578.4,2709.2,2850.4,2950,3020.2,3153.4,3300.6,3416,3514.6,3582.6,3715.6,3883,3995.4,4094.5,4163.6,4296,4469.4,4583.4,4681.6,4773.3,4860.1,4966.4,5034.1,5169.4,5387.7,5539.8,5675.5,5873.6,6006.2,6143.6,6260.3,6361.5,6451.1,6533.6,6647.1,6712.6,6847,7098.2,7257.3,7394.1,7601.6,7728.2,7898,8012.9,8111.7,8203.9,8285,8399.2,8465.1,8606.2,8957.8,9160.5,9292.7,9508.8,9634.7,9804.1,9916.6,10018,10110,10196,10304,10374,10511,10912,11063,11194,11335,11466,11678,11801,11993,12117,12217,12286,12422
