i,l,i,l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1003.2,1155.6,1429.4,1641.1,1804.3,1974.2,2104.2,2288.6,2551.4,2683.8,2862.8,3003.6,3159.3,3268,3427.5,3615.5,3818.6,3936.7,4042.4,4115.7,4231.3,4454.9,4594.8,4703.6,4801,4883.8,4987.1,5062,5178.1,5876.1,6021.1,6253,6464.3,6648.8,6798,6967.8,7085.9,7256,7411.1,7596.9,7721.4,7830.2,7904,8020.7,8722.3,8854.6,9463.4,9627.5,9731.4,9890.8,10056,10226,10340,10447,10546,10628,10730,10805,10920,11111,11237,11346,11446,11532,11633,11709,11829,12285,12450,12588,12715,12898,13072,13191,13300,13399,13486,13592,13668,13787
1042.3,1186.5,1471.2,1675.1,1849.5,2012.9,2141.6,2334.2,2586.2,2728.8,2899.9,3058.4,3202.1,3338.8,3562.6,3689.8,3888.8,4003.4,4105,4174.2,4308.2,4524.5,4663.5,4764.3,4857.4,4936,5046.1,5114.1,5254.8,5912.6,6077.5,6288.8,6515.5,6688.4,6851.1,7011.8,7157.3,7361.3,7488.2,7668.9,7791.6,7892.4,7959.4,8094.9,8758.3,8907.7,9515.1,9670.9,9804.9,10003,10128,10297,10409,10510,10600,10682,10791,10861,10999,11182,11312,11411,11503,11591,11697,11762,11907,12333,12491,12631,12842,12976,13146,13265,13362,13455,13544,13656,13723,13866
