l,i,l,i,l,l,i,l,i,l,i,i,l,i,l,i,w,r,n,n,a,b,r
1205.6,1433,1652.5,1797.8,1974.4,2135.2,2305.8,2710.8,2839.6,3045.2,3167.1,3430.8,3599.7,3739.9,3942.1,4048.7,4185.8,4369.5,4548.1,4666.8,4770.7,4844.8,4959.8
1241.8,1475.6,1687,1845.5,2017.9,2173.1,2353.3,2747.3,2892.7,3083.8,3224.8,3471.5,3642.8,3799.5,3983.9,4117.5,4314.9,4444.8,4620,4734.3,4834,4903.8,5039.2
