l,l,l,i,l,l,l,i,l,i,l,i,l,i,l,i,i,l,i,w,r,n,n,a,b,r
1982.8,2099.7,2214.3,2375.3,2568.9,2731.4,2864.4,2991.6,3271.2,3428.5,3640.9,3787.6,3977,4082.8,4343.4,4472.3,4817.1,5005,5113.2,5250.3,5431.5,5604.3,5716.5,5820.4,5892.1,6005.5
2018.9,2138.1,2251.4,2423.7,2608,2772.6,2903.8,3047.3,3306,3480.6,3678.4,3840.2,4015,4152.6,4382.7,4527.6,4870.9,5042.2,5180.5,5377.1,5501.2,5672.2,5783.9,5878.3,5949.8,6077.9
