i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,i,l,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1060.2,1304.7,1458.1,1633.8,1737.7,1893.2,2074.7,2256.9,2383.4,2491.8,2595,2679.3,2786.9,2862.1,2985,3287.8,3483,3594.2,3822.2,3929.3,4080.7,4268.1,4455.8,4581,4690.4,4767.2,4882.4,5216.2,5413.8,5772.7,5879.1,6031.2,6133.6,6285.9,6470.6,6651.1,6772.6,6882.7,6982.2,7069,7176.5,7250.3,7370.7,7653.2,7838.3,7943.4,8090.7,8283.8,8474.9,8599.2,8710.9,8810.6,8898,9005.8,9082.3,9206,9494.8,9598.7,9747.1,9854.4,10005,10198,10384,10503,10615,10718,10805,10910,10986,11107,11285,11410,11525,11627,11716,11826,11902,12025,12421,12574,12682,12908,13013,13164,13352,13533,13656,13767,13844,13963,14142,14266,14377,14478,14565,14673,14749,14872
1117.1,1343.7,1505.3,1674.6,1806.7,2017,2149.6,2329.6,2452.9,2552.4,2651.1,2735.4,2843.4,2919.5,3059.8,3335.7,3521.8,3658.7,3862.7,4000.8,4213.6,4348.2,4528.4,4651.6,4754.6,4824.7,4958.1,5268.8,5453,5811.6,5935.3,6073.4,6205.5,6414.9,6547.5,6724.1,6858.5,6946.8,7039.6,7124.4,7240,7308.3,7451.4,7703.1,7884.2,8018.2,8229.8,8362.6,8550.3,8672.1,8775,8868,8957.2,9069.3,9138.8,9282.6,9537.1,9664.2,9793.8,9933,10142,10275,10457,10578,10680,10775,10865,10975,11044,11187,11358,11488,11590,11683,11775,11883,11958,12102,12474,12619,12753,12953,13077,13295,13432,13607,13729,13832,13901,14046,14217,14337,14440,14536,14626,14738,14808,14953
