l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1982.9,2122.2,2286.4,2411.5,2525.8,2637.9,2816.3,2919.2,3103.9,3206.9,3355.4,3538.2,3697.5,3816.6,3925.2,3999.1,4113,4264.9,4384.1,4497.3,4599.6,4685.2,4790,4866.4,4984.9,5193.9,5327.2,5436,5537.2,5623.7,5730.3,5806.9,5931.9
2016.1,2167.1,2323.8,2454.3,2566.2,2702.4,2860,2988.5,3147,3285,3483.4,3615.6,3773,3889,3987.6,4058.5,4191.6,4336.8,4459.2,4563.4,4656.2,4744.4,4856.2,4925,5066.5,5266.2,5401.2,5501,5594.7,5684,5796.7,5864.2,6008.8
