l,i,l,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,a,b,r,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1540.7,1807.1,1981.6,2119.1,2290.1,2451.2,2585.2,2791.2,2926.6,3074.2,3183.8,3364.9,3485.6,3628.5,3810.9,3977.1,4089.5,4196.5,4270.8,4383.8,4543.3,4658.5,4765.3,4865.1,4950.9,5054.5,5130.4,5247.1,5503.2,5653.4,5755.2,5946,6053.9,6205.5,6391,6540.1,6658.7,6765.3,6839.8,6955.6,7099.1,7215.6,7325.8,7426.1,7512.2,7615.2,7691.4,7809.1,8010.8,8113.3,8265.2,8458.6,8628.7,8747.1,8858.1,8957.8,9044.8,9148,9223.8,9340.4,9604.3,9756.4,9859.8,10014,10115,10190,10308,10480,10600,10710,10813,10895,11002,11078,11196,11904,12024,12189,12294,12441,12543,12719,12819,13017,13120,13272,13457,13597,13714,13820,13897,14011,14139,14251,14330,14446,14726,14876,14980,15244,15355,15494,15599,15758,15941,16096,16214,16324,16425,16510,16616,16692,16814
1575.4,1844.7,2016.2,2156.2,2340.1,2489.6,2639,2827.5,2987.2,3117,3249.8,3402.6,3553.7,3762.4,3885.4,4046.8,4158.9,4257,4326.7,4461.3,4616,4731.8,4827.8,4921.3,5004.4,5113.7,5185.4,5320.3,5560.8,5696.8,5831.5,5988.7,6124.9,6335.8,6470.7,6613.5,6727.8,6828.1,6898.5,7035.1,7173,7287.3,7390,7483.5,7571.4,7677.9,7745.7,7888.2,8053.4,8188.3,8406.1,8534.9,8699.1,8816.1,8922.9,9015.6,9100.5,9211.7,9279.6,9419.2,9651.3,9800.2,9929.5,10071,10174,10251,10388,10553,10673,10775,10867,10950,11063,11132,11273,11941,12082,12230,12371,12486,12616,12762,12894,13057,13189,13408,13534,13671,13783,13885,13952,14091,14210,14313,14383,14522,14776,14921,15045,15285,15414,15536,15671,15888,16017,16171,16286,16389,16483,16565,16679,16749,16888
