l,i,i,l,l,l,l,i,l,i,l,i,l,i,l,w,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,l,l
1987.8,2149.8,2305.2,2580.4,2830.9,3044.9,3204.5,3447.7,3780.1,3907.8,4108.6,4234.6,4430.8,4554.6,4789.8,4854,5074.7,5224.9,5324.5,5477.8,5671.2,5849,5967.9,6076.2,6150.9,6267.8,6446.6,6568.5,6680.1,6779,6864.8,6972.4,7048.3,7170,7365.2,7483.8,7595,7694.8,7782.3,7890.1,7967,8088.7,8364.8,8526.8,8627.9,8773.6,8962,9136.7,9259.2,9371.6,9471.1,9558.6,9665.5,9741.1,9860.9,10547,10736,10876
2027,2198,2348.7,2621.1,2879.2,3087,3246.2,3497.8,3821.1,3965.5,4155.8,4301.6,4482.3,4627.3,4823,4961.7,5130,5265,5388.7,5618.5,5747.1,5918.7,6038.8,6138.6,6205.6,6347,6519.8,6641.2,6744.3,6836.3,6925.7,7032.2,7102.7,7247.8,7438.8,7556.4,7657.4,7751.1,7837.9,7950.9,8015.9,8163.9,8419.5,8568.3,8699.6,8905.1,9040.6,9210.3,9333.2,9436.9,9527.6,9614.6,9728.7,9796.9,9941.9,10579,10781,10917
