i,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,i,l,i,f,a,b,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1733.6,1985.1,2242.1,2422.1,2743.8,2885.3,3110,3251.5,3522.5,3666.4,3895.9,4004.3,4169.9,4272,4352.1,4467.5,4657.8,4783.5,4896.3,5000.5,5087.7,5192.6,5270.6,5390.5,5779.3,5931.9,6037.6,6180,6304.9,6566,6676.4,6829.9,6940.3,7119.3,7296.9,7482.6,7604.6,7717.6,7794.4,7916.2,8110.9,8238,8353.7,8455.6,8543.4,8651.1,8731.7,8854,9228.7,9390.8,9501.3,9661.5,9769.9,9846.1,9968.3,10313,10504,10613,10785,10887,10967,11086,11319,11443,11558,11643,11763,12086,12245,12354,12523,12629,12708,12831,13041,13166,13280,13387,13473,13584,13664,13788,14302,14469,15152,15283,15602,15828,15963,16100,16251,16357,16437,16556,16759,16887,17000,17106,17195,17306,17384,17512,17923,18227,18384,18561,18688,18854,18961,19040,19162,19372,19514,19626,19734,19822,19936,20016,20139
1769.1,2020.7,2280.5,2460.6,2779.6,2941.2,3151.1,3317.2,3561.8,3724.8,3939,4075,4227.8,4337.9,4402.6,4547,4732,4858,4963.2,5055.5,5148.9,5259,5333.4,5471.9,5834.4,5979,6109,6228.1,6375.2,6610.4,6757.2,6874.9,7011.1,7245.6,7374.9,7557.8,7678.1,7779.8,7850.7,7994.7,8184.7,8309.6,8418.2,8514.9,8606.3,8719.7,8795.3,8933.3,9293.6,9436.1,9573.1,9724.2,9836.3,9909.2,10050,10373,10553,10687,10845,10954,11028,11169,11392,11518,11625,11700,11843,12146,12290,12426,12581,12696,12772,12914,13114,13240,13349,13444,13536,13652,13723,13871,14353,14514,15189,15337,15642,15887,16008,16154,16312,16423,16492,16636,16835,16962,17068,17165,17258,17374,17447,17591,17984,18268,18451,18605,18767,18916,19027,19106,19243,19446,19586,19694,19792,19885,20005,20084,20219
