l,i,l,i,l,i,i,l,l,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,w,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r
1995,2369.1,2559.7,2701.8,2974.7,3084,3465.3,3991.7,4051.3,4759.6,4869.2,5273.9,5445.1,5585.3,5705.9,5813.8,5888,6005.3,6148.3,6271.4,6379.5,6481.1,6566.2,6672.6,6749.7,6868.4,7105,7243.5,7347,7497.8,7688.5,8269.5,8371.2,8528.2,8716.1,8854.6,8970.8,9077.9,9155,9272.5,9418.4,9534.1,9644.6,9746.9,9834.9,9938.1,10018,10132,10478,10613,10716,10865,11047
2038,2421.3,2604.8,2764.3,3021.2,3151.7,3520.6,4024.5,4122.9,4796.5,4938.6,5390.9,5515.9,5659.4,5774.8,5876.7,5943.4,6080.8,6220.3,6342.9,6444.6,6536.2,6624.2,6735.7,6803.2,6942.3,7156.4,7286.8,7413.5,7633.1,7827,8306.4,8437.5,8656.1,8789.7,8928.2,9040.1,9141.8,9208.2,9351.7,9491.9,9606.8,9711.5,9804.5,9888.9,10004,10073,10210,10529,10657,10787,10991,11133
