i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,l,i,l,i,l,i,f,a,b
1807.2,1972.5,2112.5,2263.2,2383.4,2545.5,2730.3,2952.8,3077,3190.8,3295,3383.1,3494.7,3572.2,3694.7,4003.9,4175.2,4284,4546.9,4699.2,4876.2,4985.7,5178.6,5282.4,5359,5479.9,5675.2,5800.8,5915.8,6021.6,6108.8,6218.3,6300.5,6420.8,6612.8,6757.4,6872.5,6980,7066.8,7177.1,7256,7382.8,7629.7,7797,7980.5,8159.3,8313,8585.3,8719.3,8851.1,8954.6,9034.6
1839.6,2013.5,2149.1,2305.8,2449.5,2671.8,2806,3027.6,3152.2,3257.9,3354.4,3441.6,3555.6,3628.6,3773.6,4053.5,4217.1,4354.1,4582.9,4755.2,4920.2,5048,5231.9,5343.7,5416.1,5564.8,5753.2,5874.9,5982.8,6077,6164.1,6280,6358.7,6500.5,6688.5,6833.1,6939.4,7036.4,7122.1,7241.7,7315.6,7462.6,7672.9,7834.8,8030.9,8201.2,8344.6,8619.8,8757.3,8904.2,9020.5,9088.4
