l,i,l,i,l,i,l,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,l,i,l
1557.8,1808.2,1992,2181.2,2382.6,2529.6,2806.9,2928.8,3055,3273.1,3385.8,3553.3,3653,3727.6,3841.8,4001.8,4120.3,4227.6,4328.2,4414.4,4518.6,4595.5,4713.7,5091.5,5279.2,5382.7,5547.9,5737.2,6183.7,6315.6,6656.3
1591.7,1850.2,2030.2,2233.9,2416.9,2585.5,2847.4,2970.3,3116,3317.2,3449,3606.6,3712.5,3782.9,3914.7,4074,4189.9,4293.3,4386.3,4473.8,4584.8,4651.6,4794.2,5151,5323.3,5461,5682,5815.7,6223.5,6375.8,6701.2
