l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1991.4,2159.8,2302.2,2409.3,2590.4,2699.8,2840.6,3019.1,3163.8,3283.3,3397.8,3463.2,3576.4,3701,3820.1,3928.8,4028,4110.5,4223,4289.4,4403.8,4559.8,4678,4786.7,4863.6,4981.1,5226,5389.5,5497.2,5648.2,5837,5999.6,6118,6229.1,6304.8,6420.8,6670.2,6801.1,6903.2,7050.8,7248.2,7415.2,7532.7,7650.3,7720,7833.3,8006.5,8126.1,8237.2,8335.4,8417.4,8521.5,8596.7,8716.5,8983.7,9147.6,9250.8,9414.3,9512.5,9584,9704.3,9886.7,10006,10115,10215,10300,10414,10484,10602
2030.2,2213.9,2349.5,2474.3,2635.8,2779.9,2970.1,3097.8,3236.7,3352.7,3446.6,3514.2,3658.9,3773.6,3892.5,3993.9,4084.6,4172.1,4269.9,4335.6,4482,4634.4,4753.5,4854.3,4923.3,5059.4,5285.9,5440.3,5575,5787,5916.6,6078.2,6193.8,6295.7,6365.6,6497.8,6732.3,6850.4,6982.3,7196.3,7329.2,7492.3,7604.2,7702,7767.8,7917.5,8082.5,8200.2,8301.8,8392,8485.6,8587.3,8658.2,8797,9041.1,9197.2,9325.7,9469.4,9577.5,9648,9784.6,9964.6,10083,10183,10274,10367,10465,10531,10680
