l,l,l,i,l,i,l,l,i,l,i,l,i,l,l,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,l,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r
1990,2150.7,2311.5,2514,2722.7,2877.1,3101.8,3248.6,3396,3602.6,3712.1,3910.1,4043.3,4281.4,4488.3,4607.2,4812.9,4969.6,5147.8,5268.8,5491,5598.4,5757.9,5858.6,5933.2,6048.4,6201.9,6318.2,6428.1,6501.8,6618.6,6806.8,6924.9,7031.8,7130.4,7215.7,7322.9,7397,7513.1,7713.9,7822.3,8038.9,8142.2,8313,8480.4,8640.7,8751.8,8859.2,8960.1,9046.1,9149.3,9225.1,9343.3,9527.4,9647.6,9758.1,9832.4,9948.8,10119,10237,10348,10449,10532,10638,10714,10834,11032,11152,11263,11340,11456,11663,11783,11893,11993,12080,12185,12261,12384,12585,12705,12818,12894,13012,13274,13467,13571,13737,13842,13994,14178,14334,14463,14572,14648,14765,14976,15095,15207,15306,15392,15496,15574,15694,16026,16195,16302,16562,16668,16871,16977,17150,17251,17327,17445,17634,17752,17860,17938,18056,18248,18380,18492,18592,18680,18784,18863,18983
2022.7,2187.8,2350.4,2560.8,2762.3,2922.1,3140.4,3288.6,3451.2,3640.8,3774.1,3950,4102.8,4322.3,4531.3,4669.2,4852.8,5020.6,5192.5,5325.2,5530.9,5662.7,5813.4,5924.5,5987.5,6128.6,6273.4,6385.2,6492,6556.6,6697.4,6880.2,6993.8,7093.7,7187,7273,7385.7,7450.4,7591.3,7755.9,7887.4,8081.1,8213.3,8428.4,8558.2,8713.5,8825,8924.1,9015,9102.8,9215.5,9282.3,9419.1,9598.6,9719.1,9817.1,9888,10026,10192,10310,10410,10504,10587,10702,10774,10912,11106,11225,11330,11396,11536,11735,11855,11957,12050,12139,12252,12317,12464,12659,12780,12882,12950,13092,13330,13508,13645,13781,13914,14125,14256,14412,14536,14638,14706,14845,15050,15169,15269,15363,15452,15561,15629,15773,16075,16237,16373,16604,16736,16914,17047,17209,17316,17386,17522,17709,17826,17927,17995,18134,18325,18456,18558,18651,18740,18852,18921,19063
