l,i,l,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1034.9,1201.8,1440,1613.3,1773.8,1986.2,2115.6,2306.5,2467.2,2645.5,2751.6,2894.6,3073.5,3240.7,3361.4,3465.7,3539.7,3655.3,3963.4,4151.7,4290.3,4421.5,4520.5,4594.8,4708.3,4895.9,5015.2,5121.2,5220.2,5304.9,5411.3,5486,5606.5,5896.3,6051.7,6155.2,6300,6491.3,6663.5,6784.1,6892.5,6991.2,7074.4,7176.4,7252.1,7369.4,7971.2,8141.4,8251.1,8489.5,8592.6,8788.4,8890.2,8963.3,9080.6,9259.7,9381.5,9491,9590.2,9674.3,9778.5,9852.8,9978.4,10785,10907,11064,11165,11327,11510,11676,11793,11902,12002,12086,12191,12265,12382,12666,12836,12937,13105,13207,13281,13397,13564,13688,13799,13900,13986,14090,14167,14292
1072.4,1251,1479.5,1656.4,1826.8,2026.4,2174,2347.9,2525.6,2690,2814.4,3017.9,3151.5,3313.3,3431.1,3529.7,3597.1,3732.8,4020.3,4196,4327.9,4479.4,4584.2,4652.7,4787.8,4968.1,5084.7,5186.9,5277.7,5365.3,5470.2,5547.1,5682.3,5949.3,6094,6228.1,6443,6569.2,6735.9,6853.4,6955.4,7048,7128.6,7241.2,7308.4,7448,8017.8,8183.2,8321.6,8530.5,8658.7,8841.1,8951.9,9020.1,9158.9,9331.9,9455,9553.1,9648.9,9735.3,9843,9915.3,10059,10821,10956,11107,11229,11457,11585,11748,11866,11963,12058,12145,12253,12324,12460,12724,12879,13010,13164,13270,13343,13476,13638,13760,13863,13957,14045,14156,14223,14370
