l,i,l,i,l,l,i,l,i,l,i,f,a,b,r,l,i,l,i,f,a,b,r,n,n,a,d,f,a,b,r
1659.4,1814.6,1995.7,2127.1,2332.1,2479.8,2636.3,2897.5,3035.7,3203.2,3312.7,3468.4,3568.2,3641.3,3755.8,4176.8,4346.9,4550.7,4724.7,4999.4,5105.2,5178.9,5293.7,5502.8,5622.6,5729.4,5827.5,5911.4,6015.8,6089.9,6208.8
1694.5,1866,2036.1,2182.6,2373.2,2519.1,2689,2935.7,3091,3242.5,3381.4,3524.9,3628.6,3699.9,3834,4214.8,4406.2,4589.6,4782.8,5058.3,5164.3,5234.3,5370.7,5574.7,5693.2,5793.2,5885.1,5972.4,6077.2,6148.4,6287.1
